"Category","Brand_Description","Price","Review_Count","Rating"
"Boots"," NORTIV 8 Men's Hiking Boots Waterproof Mid Ankle Trekking Outdoor Boots Leather Work Boots  3.9 out of 5 stars 22  $35.99$35.99 List: $59.99$59.99 FREE delivery Wed, Jan 31 Or fastest delivery Mon, Jan 29 ","35.","22","3.9 out of 5 stars"
"Boots"," adidas Men's Terrex Ax4 Mid Cold.rdy Sneaker  4.5 out of 5 stars 87  100+ bought in past month$73.97$73.97 FREE delivery Wed, Jan 31 Or fastest delivery Mon, Jan 29 Prime Try Before You Buy","73.","87","4.5 out of 5 stars"
"Boots"," Under Armour Men's Micro G Valsetz Mid Military and Tactical Boot  4.5 out of 5 stars 3,095  100+ bought in past month$89.95$89.95 List: $125.00$125.00 FREE delivery Wed, Jan 31 Or fastest delivery Mon, Jan 29 Prime Try Before You Buy","89.","3,095","4.5 out of 5 stars"
"Boots"," Micro G Valsetz Mid Military and Tactical Boot  4.4 out of 5 stars 598  50+ bought in past month$90.66$90.66 List: $125.00$125.00 FREE delivery Wed, Jan 31 Or fastest delivery Mon, Jan 29 Prime Try Before You Buy","90.","598","4.4 out of 5 stars"
"Boots"," Under Armour Women's Stellar G2 Military and Tactical Boot  4.4 out of 5 stars 477  50+ bought in past month$110.00$110.00 FREE delivery Wed, Jan 31 Or fastest delivery Tue, Jan 30 Prime Try Before You Buy","110.","477","4.4 out of 5 stars"
"Boots"," NORTIV 8 Men's Military Tactical Boot Comfortable Lightweight Boots for Work All Day Side Zipper Motorcycle Combat Hiking Boots 8 Inches  4.2 out of 5 stars 3  $64.99$64.9920% coupon applied at checkoutSave 20%  with coupon  FREE delivery Wed, Jan 31 Or fastest delivery Mon, Jan 29 ","64.","3","4.2 out of 5 stars"
"Boots"," Akk Men's Chukka Ankle Boots - Handmade Beck Shoes Casual Driving Fashion Boots Slip on Non Slip Comfortable Walking Hiking Indoor Outdoor  4.2 out of 5 stars 71  $19.99$19.99 Typical: $26.99$26.99 FREE delivery Wed, Jan 31 on $35 of items shipped by AmazonOr fastest delivery Mon, Jan 29 ","19.","71","4.2 out of 5 stars"
"Boots"," XPETI Men’s Crest Thermo High-Top Winter Hiking Boots Waterproof Insulated  4.4 out of 5 stars 461  $68.99$68.99 FREE delivery Wed, Jan 31 Or fastest delivery Mon, Jan 29 ","68.","461","4.4 out of 5 stars"
"Boots"," LA Police Gear Men's Core 8"" Side-Zip Duty Boot, Oil & Slip Resistant Lightweight Leather Uniform Boot, Men's Tactical Boot  4.4 out of 5 stars 2,538  $64.99$64.99 FREE delivery Wed, Jan 31 Or fastest delivery Tue, Jan 30 Small Business  Small BusinessShop products from small business brands sold in Amazon’s store. Discover more about the small businesses partnering with Amazon and Amazon’s commitment to empowering them. Learn more ","64.","2,538","4.4 out of 5 stars"
"Boots"," +2Soulsfeng Men's Tactical Boots Lightweight Sneakers Boots Hiking Work Military Combat Boots for Women  4.1 out of 5 stars 649  $59.99$59.99 List: $69.99$69.9915% coupon applied at checkoutSave 15%  with coupon (some sizes/colors)  FREE delivery Wed, Jan 31 Or fastest delivery Mon, Jan 29 Prime Try Before You BuySmall Business  Small BusinessShop products from small business brands sold in Amazon’s store. Discover more about the small businesses partnering with Amazon and Amazon’s commitment to empowering them. Learn more ","59.","649","4.1 out of 5 stars"
